Date,returns,dd_10,sortino_20,sortino_60,target_SMA_120
1964-06-29,81.63999938964844,0.0024678311865626,0.1980744934242799,0.161479458430752,83.74450028737387
1964-06-30,81.69000244140625,0.0023837677967545,0.2230331692813602,0.1688898999611165,83.7669169108073
1964-07-01,82.2699966430664,0.0023025679146063,0.2258442283826702,0.1698481832622958,83.7840836207072
1964-07-02,82.5999984741211,0.002224133998535,0.3203023993403596,0.1971284997962448,83.79700031280518
1964-07-03,82.5999984741211,0.0021483718295818,0.3259012181589487,0.1982656103194537,83.79700031280518
1964-07-06,82.9800033569336,0.0020751903982318,0.3770427703048542,0.2130562691544392,83.80675029754639
1964-07-07,83.12000274658203,0.0020045017950881,0.4370573493100949,0.2302855213215826,83.81466693878174
1964-07-08,83.12000274658203,0.0019362211052707,0.4530851936611779,0.2354171563376276,83.8204168955485
1964-07-09,83.22000122070312,0.001870266306412,0.4431916055118912,0.2334889904153977,83.8294169108073
1964-07-10,83.36000061035156,0.0018065581701274,0.4523491644755142,0.2366408835566073,83.84100023905437
1964-07-13,83.30999755859375,0.0017450201668421,0.4693293323267362,0.2418379605861874,83.84866695404052
1964-07-14,83.05999755859375,0.0016927151437875,0.4486921498854018,0.2372475510939233,83.86175028483073
1964-07-15,83.33999633789062,0.0018105967000819,0.375667312517769,0.2208261506306703,83.87466697692871
1964-07-16,83.63999938964844,0.0017489211296405,0.4217207838750482,0.2333914989922516,83.88816699981689
1964-07-17,84.01000213623047,0.0016893464555441,0.4716819612018013,0.2469496133102058,83.89950033823649
1964-07-20,83.73999786376953,0.0016318011135504,0.5355790197770428,0.2640681319741114,83.9133337020874
1964-07-21,83.54000091552734,0.0017828130205583,0.4493639113599109,0.245835751884866,83.93058369954427
1964-07-22,83.5199966430664,0.0018298819938473,0.3904631562106244,0.232352997115616,83.94991703033448
1964-07-23,83.4800033569336,0.0017686356371854,0.3774398534505502,0.2293715075848796,83.96958363850912
1964-07-24,83.45999908447266,0.0017128797099293,0.3602511379575995,0.2253228497958117,83.99250030517578
